"id","name","hostid","hostname","neighbourhoodgroup","neighbourhood","latitude","longitude","roomtype","price","minimumnights","numberofreviews","lastreview","reviewspermonth","calculatedhostlistingscount","availability365"
13396969,"1 Bedroom apartment, heart of LES",96755,"Hope"," ","Chinatown",40.71579,-73.99158,"Entire home/apt",125,4,31,"07/07/2019",0.84,1,7
35197207,"Spacious bedroom w/ private bathroom! TRULY LOVELY",257586719,"Marilena","Brooklyn","Bath Beach",40.60551,-74.00129,"Private room",100,1,2,"26/06/2019",2,1,90
7901635,"#NAME?",31304940,"John","Brooklyn","Williamsburg",40.71544,-73.96211,"Private room",60,2,99,"23/06/2019",2.1,8,100
4571518,"Park Slope - Furnished  room in 2BR",23697064,"Matt","Brooklyn","South Slope",40.66289,-73.98176,"Private room", ,5,1,"09/10/2015",0.02,1,0
1471244,"Cozy w/amazing city views by PS1",4260529,"Harry","Queens","Long Island City",40.74632,-73.94799,"Private room",349,1,26,"13/12/2016",0.36,2,365
8904076,"Forest Hills 3 Bedroom Apartment",46574350,"Sean","Queens","Forest Hills",40.71372,-73.83693,"Entire home/apt",125,1,2,"10/08/2016",0.05,1,0
6571441,"Brooklyn Brownstone Master Bedroom",31458100,"Drew","Brooklyn","Bedford-Stuyvesant",40.68527,-73.95307,"Private room",53,2,11,"11/04/2016",0.23,1,0
8381173,"Charming Hell's Kitchen nest -- bedroom 2",19838610,"Scott","Manhattan","Hell's Kitchen",40.76859,-73.9872,"Private room",79,1,5,"13/05/2017",0.14,1,0
36077537,"Clean, quiet, lux BR in Midtown",10287553,"Marie","Manhattan","Hell's Kitchen",40.76843,-73.9894,"Private room",147,2,1,"01/07/2019",1,1,27
15564125,"High End 4 bedroom in best location in Ditmas Park",12214869,"Ches","Brooklyn","Flatbush",40.63766,-73.96611,"Entire home/apt",275,2,102,"23/06/2019",3.14,1,276
22636785,"Private room with visit to queens # 2",158540605,"Sonia"," ","Glendale",40.70148,-73.88954,"Private room",25,2,75,"23/06/2019",4.29,6,254
13821806,"Charming 1BR in Williamsburg - perfectly located",7695239,"Rachad","Brooklyn","Williamsburg",40.72128,-73.95782,"Entire home/apt",249,3,0,"", ,1,0
13392143,"Astoria: 2 Weeks July 1st - 14th",39175915,"Wesley","Queens","Ditmars Steinway",40.77643,-73.91364,"Private room",29,14,0,"", ,1,0
29858182,"Luxury Affordable comfort in the Bronx-Suite 2!",216456504,"Annick"," ","Wakefield",40.89429,-73.84392,"Private room", ,1,26,"01/07/2019",3.21,3,363
33765725,"Modern Private Bath and Furnished Room Near Train",253690060,"Winston","Bronx","Pelham Gardens",40.86674,-73.8428,"Private room",75,5,0,"", ,1,188
7593263,"Brand new 2bed/2bath garden apt steps from train",39808438,"Easton","Brooklyn","Bushwick",40.68902,-73.9156,"Entire home/apt",85,2,172,"17/06/2019",3.6,5,136
32272082,"Waterfront apt with Manhattan view and balcony...",152034487,"Dino","Manhattan","Roosevelt Island",40.76218,-73.94897,"Private room",85,1,20,"02/07/2019",8.45,1,104
8387338,"Private Room Available in 2BedApt",44195923,"Dawn","Staten Island","Tompkinsville",40.63378,-74.08726,"Private room", ,1,0,"", ,1,0
12026418,"Cozy room in a brand new building !",64355945,"Catharina","Queens","Rego Park",40.72526,-73.85973,"Private room", ,2,32,"01/07/2019",0.81,1,89
12806016,"Ditmas Park Beauty",69794747,"Anna","Brooklyn","Flatbush",40.64159,-73.95985,"Entire home/apt", ,3,96,"22/06/2019",2.5,1,209
20451532,"Greenpoint private room w/back yard, dishwasher",37050812,"Stephanie"," ","Greenpoint",40.73547,-73.95495,"Private room", ,2,4,"23/10/2017",0.18,1,0
36235186,"Walk to Times SQ! Simple room in heart of NYC",62241191,"Jonathan","Manhattan","Hell's Kitchen",40.75512,-73.99437,"Private room", ,1,0,"", ,1,6
25961778,"Brooklyn Nest",697560,"Emily","Brooklyn","East Flatbush",40.65014,-73.94451,"Entire home/apt",100,2,0,"", ,1,5
16381049,"Large 3bd 2 bath duplex in prime Greenpoint!",34471130,"LeAndra","Brooklyn","Greenpoint",40.73292,-73.95987,"Entire home/apt",250,2,0,"", ,1,0
34212511,"Sonder | The Nash | Original 1BR + Rooftop",219517861,"Sonder (NYC)","Manhattan","Murray Hill",40.74787,-73.97457,"Entire home/apt",202,29,0,"", ,327,355
6335490,"Best location in NYC!",4365980,"Benjamin","Manhattan","Gramercy",40.73481,-73.98669,"Entire home/apt", ,2,8,"19/01/2017",0.16,1,0
9110077,"Room in East Williamsburg",19885346,"Mireia","Brooklyn","Williamsburg",40.70448,-73.94208,"Private room", ,3,6,"16/08/2016",0.16,1,0
13532366,"Chill Private Room in Extremely Convenient Place",9540269,"Josh","Manhattan","Upper West Side",40.76986,-73.98673,"Private room",90,1,1,"09/08/2016",0.03,1,0
5395116,"Studio in UWS- Manhattan",14586567,"Paula","Manhattan","Upper West Side",40.79368,-73.97324,"Entire home/apt", ,1,0,"", ,1,0
404502,"ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!",242506,"Jsun","Brooklyn","Williamsburg",40.7093,-73.96484,"Private room", ,3,269,"05/06/2019",3.09,3,158
33558102,"Private room in loft (check out my pictures)!!!!",157708630,"Marilyn","Brooklyn","Bushwick",40.70044,-73.92503,"Private room",68,2,5,"27/05/2019",1.76,1,15
15194011,"Gerrie",95471771,"Lynne"," ","Jamaica",40.67627,-73.77059,"Private room",65,1,3,"30/12/2018",0.12,2,179
34971332,"Upscale Studio in Brooklyn",1241548,"Andrew","Brooklyn","Bedford-Stuyvesant",40.68991,-73.95345,"Entire home/apt",110,3,0,"", ,1,18
645942,"Amazing NY apartment in SoHo/Nolita",3235547,"Mathilde", ,"Nolita",40.72294,-73.99388,"Entire home/apt",250,4,43,"02/06/2019",0.52,1,347
6274181,"Large, Bright & Airy 2BR Loft in ❤️of Williamsburg",32608639,"Randall","Brooklyn","Williamsburg",40.71544,-73.95552,"Entire home/apt",225,3,24,"27/05/2019",0.47,1,17
29013,"B & B Room 1",35935,"Angela","Brooklyn","Bedford-Stuyvesant",40.68332,-73.9547,"Private room",70,3,63,"14/05/2019",0.58,2,310
30124398,"Beautiful 1865 Townhouse, 5 bedrm, Fireplace Sauna",4077993,"Raquel","Brooklyn","Crown Heights",40.67536,-73.94237,"Entire home/apt",460,2,2,"02/01/2019",0.27,2,0
6348972,"Cosy & Quiet BD in Central Harlem",33074274,"Vigil", ,"Harlem",40.80581,-73.95,"Private room",69,6,40,"02/05/2019",0.8,2,329
25455986,"Your own duplex 3 bedroom w. backyard in Bed-Stuy!",21653460,"Zoya","Brooklyn","Bedford-Stuyvesant",40.69399,-73.95269,"Entire home/apt", ,5,2,"28/08/2018",0.18,2,0
9414496,"Gorgeous studio available!",37169371,"Shannon","Manhattan","Inwood",40.85945,-73.92834,"Entire home/apt",69,1,1,"27/11/2015",0.02,1,0
35714753,"The Jamaica Experience",46662635,"DuVall","Queens","Jamaica",40.70477,-73.80335,"Entire home/apt",44,1,3,"03/07/2019",3,1,330
34773215,"Spacious Bedroom in Brooklyn Very Close to Subway",210799153,"Brandon","Brooklyn","Bedford-Stuyvesant",40.68676,-73.94593,"Private room",51,1,4,"23/06/2019",2.86,3,0
14743469,"Bensonhurst Gem",19101984,"Tuan-Phi","Brooklyn","Bensonhurst",40.60749,-73.99225,"Entire home/apt",49,1,1,"28/08/2016",0.03,1,0
30250766,"Staten Island - Free Wifi, Parking Space, Near NYC",225160295,"Yun","Staten Island","Rosebank",40.61438,-74.0664,"Entire home/apt",138,1,51,"02/07/2019",7.18,1,291
20850678,"Restaurants- Nightlife-  Greenpoint - Williamsburg",56391145,"Eric"," "," ",40.72393,-73.95347,"Entire home/apt",184,2,0,"", ,2,0
10272718,"Comfortable Room in 3 bedroom Apt",42278723,"Ariel", ,"East Harlem",40.78593,-73.94169,"Private room",60,1,1,"24/01/2016",0.02,1,0
13841569,"The Parachute Loft Bedrm 2",62605071,"Anna","Brooklyn","Coney Island",40.57476,-74.00101,"Private room",95,1,41,"16/06/2019",1.33,2,158
7998385,"Spectacular Manhattan Skyline View",975656,"Jennifer","Brooklyn","Crown Heights",40.66783,-73.93042,"Entire home/apt", ,5,11,"28/07/2017",0.24,1,0
23593409,"Chic + Relaxing Vibe + Close to Subway",12881634,"Olivia","Brooklyn","Bedford-Stuyvesant",40.68221,-73.92614,"Entire home/apt",112,3,43,"01/07/2019",2.63,1,29
15301499,"~**GORGEOUS DOWNTOWN LOFTS**~ MULTIPLE SPACES",76192815,"Sam", ,"Chinatown",40.71745,-73.99409,"Entire home/apt",300,1,23,"27/03/2019",0.69,5,364
33639266,"★ CLEAN/ELEGANT TWO BEDROOM APARTMENT ★",253504649,"Nour","Manhattan","Upper East Side",40.78134,-73.95212,"Entire home/apt",289,5,15,"22/06/2019",4.89,1,146
3717689,"CHARMING BROOKLYN LOFT WITH PATIO",18393872,"Natalie"," ","Bedford-Stuyvesant",40.69141,-73.95886,"Entire home/apt", ,7,2,"15/05/2017",0.03,1,0
25156280,"Lovely & Chic 2BR Astoria Row House",5637331,"Amit & Sofie","Queens","Astoria",40.76182,-73.90622,"Entire home/apt",118,3,1,"11/08/2018",0.09,2,0
13572767,"Heart of Williamsburg 2 bedroom sleeps 5",69541888,"Edward", ,"Williamsburg",40.71758,-73.95015,"Entire home/apt",250,1,1,"21/07/2016",0.03,1,0
34306801,"Dapper East Village 1BR in Walk Up Building near Subway, by Blueground",107434423,"Blueground","Manhattan","East Village",40.72995,-73.98453,"Entire home/apt",271,30,0,"", ,232,334
12669490,"The Oasis of Utica",16623502,"Racquel","Brooklyn","East Flatbush",40.64741,-73.92588,"Entire home/apt", ,1,43,"24/11/2018",1.17,1,13
1409947,"SOHO Sanctuary Privately Owned",7603226,"Lysa", ,"SoHo",40.72347,-74.00488,"Entire home/apt",285,5,11,"18/06/2017",0.16,1,173
13432015,"Stunning 1 Bedroom Apt. in  NYC, w/d in the unit!",30283594,"Kara","Manhattan","Hell's Kitchen",40.76201,-73.99755,"Entire home/apt", ,30,0,"", ,121,365
34909275,"Sunny Room in Williamsburg Loft",3383356,"Bernadette","Brooklyn","Williamsburg",40.71703,-73.9635,"Private room", ,2,0,"", ,1,22
985338,"Monthly rental of guest room,limited kitchen use",1417489,"Lorna","Brooklyn","Brooklyn Heights",40.70162,-73.99465,"Entire home/apt",100,180,0,"", ,1,365
19206550,"Huge sunny room PRIVATE BATHROOM 15 min 2 Times Sq",128156060,"Doa","Queens","Sunnyside",40.74194,-73.91289,"Private room",70,21,22,"10/03/2019",1.02,1,0
29832768,"Avail July - Beautiful Greenwich Village room!",26310763,"Amz", ,"Greenwich Village",40.73328,-73.99431,"Private room",150,7,0,"", ,1,2
29125444,"Cozy 1 bedroom in Murray Hill.",52083976,"Kevin","Manhattan","Murray Hill",40.74466,-73.9737,"Entire home/apt",140,1,0,"", ,1,0
23519107,"Family-friendly apartment in Harlem MANHATTAN",4089511,"Marie","Manhattan","Harlem",40.81164,-73.94513,"Entire home/apt",165,7,2,"30/07/2018",0.17,2,105
26036438,"Fun and Whimsical UWS Garden Home",40653297,"Jordyn","Manhattan","Upper West Side",40.78721,-73.97015,"Entire home/apt",350,2,19,"16/06/2019",1.5,1,163
5466680,"1 BR TSquare balcony great view",18212433,"Veronique Camille","Manhattan","Hell's Kitchen",40.76602,-73.99249,"Entire home/apt",229,5,5,"11/09/2018",0.09,8,43
20186021,"Bright, clean, cosy room in the heart of Brooklyn!",94113622,"Darlene","Brooklyn","Bushwick",40.68252,-73.90651,"Private room", ,3,2,"29/08/2017",0.09,2,165
8693545,"Great affordable room.",42421006,"Jose","Manhattan","Washington Heights",40.84874,-73.94202,"Private room",99,1,129,"24/01/2019",3.75,2,299
21563815,"Architect's duplex Apt in Historic Brooklyn",2179149,"Olivier","Brooklyn","Bedford-Stuyvesant",40.681,-73.92894,"Entire home/apt",150,4,3,"23/10/2018",0.16,1,0
13174320,"Cute Studio in great UES location",30812813,"Amanda", ,"Upper East Side",40.77097,-73.95843,"Entire home/apt",115,5,4,"16/08/2016",0.11,1,0
7307027,"Large room in two-story brownstone",16237939,"Seth","Brooklyn","Prospect Heights",40.67958,-73.96956,"Private room", ,2,4,"11/07/2016",0.09,1,0
23380590,"Sunny apt in dynamic Bushwick",164519659,"Jessica","Brooklyn","Bushwick",40.70073,-73.91714,"Private room",35,1,6,"21/04/2018",0.37,1,0
6403795,"Twin Loft Nook in Brooklyn",21090508,"Jarad","Brooklyn","Bushwick",40.69914,-73.93591,"Shared room",44,5,27,"14/08/2018",0.54,2,0
22843226,"Cozy place in Astoria, 10min to Manhattan",168348550,"Jewel", ,"Long Island City",40.75533,-73.93261,"Entire home/apt",175,2,45,"22/06/2019",2.84,1,33
22328175,"Big room with private bath - close to Manhattan",161351021,"V","Queens","Woodside",40.75541,-73.90272,"Private room",475,1,7,"01/03/2018",0.37,2,0
3523001,"Lovely Tudor Home with Studio in Queens, NY",10628463,"Pat & Ray","Queens","Fresh Meadows",40.75037,-73.79154,"Private room",125,7,0,"", ,1,365
22477997,"Speakeasy Inn Bushwick Two",24020292,"Cristiano","Brooklyn","Bushwick",40.70241,-73.91996,"Private room",55,1,60,"06/07/2019",3.25,4,58
30319831,"Private bedroom in a loft apartment (Williamsburg)",115051556,"Jean Pierre", ,"Williamsburg",40.71217,-73.94396,"Private room",80,1,33,"05/07/2019",4.97,1,151
21113189,"East Village Apartment",67211684,"Zsofia","Manhattan","East Village",40.72615,-73.99072,"Entire home/apt",190,4,14,"23/05/2019",0.71,1,0
29063485,"★ Your Cozy Home I Taxi Service I Backyard ★",219012245,"Denise"," ","Canarsie",40.63655,-73.91065,"Entire home/apt",78,1,10,"16/06/2019",2.17,1,3
1106284,"Modern Loft Space on Gramercy Park",2757621,"James","Manhattan","Gramercy",40.73708,-73.98455,"Entire home/apt",250,4,23,"30/06/2019",0.31,1,11
13411035,"Charming 3 BR in Midtown West",61391963,"Corporate Housing","Manhattan","Hell's Kitchen",40.76327,-73.98937,"Entire home/apt",185,30,4,"31/08/2018",0.13,91,0
8388776,"Massive, Cozy, Modern 1BR in Heart of Chelsea!",2227376,"Eunwoo","Manhattan","Chelsea",40.74501,-73.99725,"Entire home/apt",109,3,10,"08/10/2018",0.33,1,0
19689686,"Private comfy bedrm & bath Brookly NY",3148366,"Maria","Brooklyn","Bedford-Stuyvesant",40.68861,-73.95377,"Private room",55,3,0,"", ,1,0
32681564,"Artistic UWS Jr Suite- 2 Queens Near Central Park",245314318,"Arthouse Hotel","Manhattan","Upper West Side",40.7813,-73.97922,"Private room",280,1,0,"", ,10,275
33216624,"Magical Brooklyn Space *20 MIN to Manhattan!*",201407513,"Norma-Jean","Brooklyn","Bedford-Stuyvesant",40.67922,-73.90953,"Private room", ,1,6,"24/06/2019",1.86,2,79
29463258,"It's always sunny in Hells Kitchen",57765860,"Christina","Manhattan","Upper West Side",40.76964,-73.98615,"Entire home/apt",250,7,0,"", ,1,34
9576812,"Spectacular Designer Loft",4562182,"Florence","Manhattan","Harlem",40.81246,-73.94506,"Entire home/apt", ,30,57,"27/06/2019",1.32,4,224
11801942,"Cozy, Clean and Minimal Design in Park Slope",62852022,"Stine And Andrew","Brooklyn","South Slope",40.66485,-73.98822,"Entire home/apt", ,2,9,"31/05/2019",0.24,1,0
6908209,"PrimChelsea~1BR~Sleeps4~hugeOutdoor",2119276,"Host","Manhattan","Chelsea",40.74138,-74.00072,"Entire home/apt", ,30,6,"30/03/2019",0.13,39,289
24369857,"The corner house",2790890,"Phil"," ","Bedford-Stuyvesant",40.69372,-73.9485,"Entire home/apt",112,3,65,"07/07/2019",4.62,3,219
29135488,"Cozy Room, 2 twin beds, NEAR TRAIN AND AIRPORTS",219099148,"Valeria","Queens","Ridgewood",40.70605,-73.90374,"Private room",50,1,14,"28/12/2018",1.7,1,272
28606397,"Affordable Couch-Surfing, Near All",9731301,"Arq", ,"Jackson Heights",40.75011,-73.89113,"Shared room",70,1,2,"31/03/2019",0.32,1,365
16024539,"Beautiful Greenpoint, Brooklyn apt by the park",1622733,"Cristina", ,"Greenpoint",40.72413,-73.9509,"Entire home/apt",75,2,14,"08/06/2019",0.7,1,93
7561953,"No better place than Prospect Place",1348134,"Mareike","Brooklyn","Crown Heights",40.67552,-73.96041,"Entire home/apt",120,5,4,"31/12/2018",0.09,1,10
28289954,"NewPlace 4",187908645,"Jimmy","Queens","Flushing",40.75778,-73.83353,"Private room",70,1,7,"04/05/2019",0.7,4,347
7339802,"HUGR 1BR+ in Sugar Hill, Harlem",38452274,"Aly"," ","Harlem",40.82196,-73.94247,"Entire home/apt",100,3,14,"12/01/2018",0.29,1,0
575061,"Your own floor (private) in prime Williamsburg!!",2828813,"Katherine","Brooklyn","Williamsburg",40.71603,-73.95665,"Private room",120,2,143,"30/06/2019",4.14,1,102
24677926,"Stylish & Tranquil East Village Three Bedroom",11305249,"Eric","Manhattan","East Village",40.72499,-73.98867,"Entire home/apt",650,2,41,"17/05/2019",2.83,1,126
18170615,"Private room/Columbia/Central park",75810157,"Antong","Manhattan"," ",40.80416,-73.96538,"Private room",99,4,3,"29/06/2017",0.11,1,0
30468335,"LARGE Prospect Lefferts Gardens Bedroom",228750026,"","Brooklyn","Flatbush",40.65152,-73.95271,"Private room", ,7,0,"", ,1,69
7516992,"Bedroom in Midtown Apartment",29544115,"Chisom"," ","Midtown",40.75737,-73.96916,"Private room",70,1,1,"24/08/2015",0.02,1,0
16132114,"Sunny Guestroom 30 mins to Downtown Manhattan",90658585,"Faye","Staten Island","Tompkinsville",40.63267,-74.08369,"Private room",34,3,24,"10/06/2019",0.78,3,159
21965110,"Peaceful Bushwick Room with Great Views",77084335,"Mahayla","Brooklyn","Bushwick",40.69871,-73.9361,"Private room",80,3,2,"01/12/2017",0.1,1,0
21312440,"Hillside Hotel",134184451,"Hillside Hotel","Queens","Jamaica",40.70269,-73.81585,"Private room",165,1,0,"", ,18,360
14069379,"1br Apartment to relax in NYC",12614433,"Kelly","Brooklyn","Bedford-Stuyvesant",40.69517,-73.93808,"Entire home/apt",85,1,1,"12/08/2016",0.03,1,0
20011863,"$47/day Private ROOM! BETTER THAN HOSTEL! In Bklyn",14157435,"Sherry","Brooklyn","Flatlands",40.62567,-73.93784,"Private room",47,1,36,"05/07/2019",1.52,1,59
34058607,"Cozy apartment at heart of Brooklyn",11256721,"Zeynep"," ","East Flatbush",40.64939,-73.94864,"Entire home/apt", ,4,0,"", ,1,27
24489174,"Comfortable,Spacious,clean Private Room",184523531,"June","Manhattan","East Harlem",40.79578,-73.94523,"Private room",68,2,31,"23/06/2019",2.1,1,265
27961920,"CORNER SUITE HIGH CELING in a Luxury Building",828519,"Teresa","Manhattan","Hell's Kitchen",40.7603,-73.98822,"Private room",149,5,13,"23/06/2019",1.26,1,123
25887913,"Cozy Room Great Price in Bushwick, Bklyn!(Suite 3)",44123062,"Oscar","Brooklyn","Bushwick",40.68912,-73.90848,"Private room", ,3,50,"29/06/2019",3.96,4,9
18198439,"BRIGHT SHABBY CHIC FLOOR THRU",7380428,"Mel","Manhattan","Harlem",40.81447,-73.94721,"Entire home/apt",165,7,35,"01/07/2019",1.39,3,269
22571205,"Great 3 BR Apt with private backyard and garage",24495088,"Albert", ,"Brighton Beach",40.57905,-73.96088,"Entire home/apt",179,2,1,"16/01/2018",0.06,1,0
467866,"Our NY home, Greenwich Village apt",2321870,"David","Manhattan","West Village",40.73123,-74.00591,"Private room",100,2,199,"05/07/2019",2.3,1,19
35850605,"Convenient Private Master Room Prime Time Square!",2196491,"Sophia","Manhattan","Theater District",40.75696,-73.98323,"Private room",65,14,0,"", ,3,85
20636888,"tidy room with PRIVATE BATH & PRIVATE ENTRANCE",124860677,"Jim&Lisa","Queens","Flushing",40.75777,-73.81172,"Private room",54,2,65,"03/07/2019",2.88,6,361
36236767,"Small Comfy space",104028121,"Diana","Manhattan","Washington Heights",40.85044,-73.93042,"Private room",41,1,0,"", ,1,38
20553283,"Medical Student Room A : Brooklyn Hospitals",146776990,"Rosemarie","Brooklyn","East Flatbush",40.65286,-73.93209,"Private room",35,30,3,"26/05/2018",0.16,4,342
7643399,"APARTMENT WITH PARKING BY HOSPITAL",39918716,"Kazi", ," ",40.65551,-73.94206,"Entire home/apt", ,2,6,"02/10/2017",0.16,1,130
4157064,"16' x 11' Furnished BR with Balcony",3563,"Arnie","Brooklyn","Sunset Park",40.64076,-74.0224,"Private room",35,6,1,"28/11/2014",0.02,1,0
19575376,"Hendrix Street Gem Rm #1",105878573,"Tonisha","Brooklyn","East New York",40.66672,-73.88852,"Private room", ,1,14,"19/05/2018",0.59,5,0
12670883,"Entire private # in a privately own  brownstone",60981198,"Cyrille","Brooklyn","Bedford-Stuyvesant",40.69122,-73.93495,"Private room",105,10,2,"17/08/2018",0.11,3,31
13764772,"1br in Beautiful 2br-Prime location (LIC/Astoria)",24295412,"Shaheen","Queens","Astoria",40.75818,-73.92513,"Private room", ,6,0,"", ,1,0
35352430,"Get Together/ Small party space",69700229,"Shatese","Queens","Jamaica",40.68144,-73.77739,"Entire home/apt",250,1,0,"", ,3,22
